broad_id	pert_id	deprecated_broad_id	deprecated_pert_id
BRD-K92848252-001-02-7	BRD-K92848252	BRD-M65846159-001-01-8	BRD-M65846159
BRD-K92848252-001-03-5	BRD-K92848252	BRD-M65846159-001-03-4	BRD-M65846159
BRD-K28690501-001-02-1	BRD-K28690501	BRD-K15864401-001-01-0	BRD-K15864401
BRD-K94436377-001-12-8	BRD-K94436377	BRD-K22902927-001-01-4	BRD-K22902927
BRD-K94436377-001-12-8	BRD-K94436377	BRD-A35279169-001-07-8	BRD-A35279169
BRD-K52756523-001-28-8	BRD-K52756523	BRD-K15706428-001-01-2	BRD-K15706428
BRD-K52756523-001-25-4	BRD-K52756523	BRD-A77786295-001-01-1	BRD-A77786295
BRD-K52756523-001-26-2	BRD-K52756523	BRD-A83603976-001-01-6	BRD-A83603976
BRD-K52756523-001-29-6	BRD-K52756523	BRD-A44120870-001-01-6	BRD-A44120870
BRD-K36775483-001-01-4	BRD-K36775483	BRD-K77961099-001-01-6	BRD-K77961099
BRD-M56212252-001-01-0	BRD-M56212252	BRD-K08970894-001-03-4	BRD-K08970894
BRD-K30577245-341-01-9	BRD-K30577245	BRD-A05821830-341-01-5	BRD-A05821830
BRD-K30577245-001-04-3	BRD-K30577245	BRD-A05821830-001-05-6	BRD-A05821830
BRD-K30577245-001-05-0	BRD-K30577245	BRD-K63265447-001-07-4	BRD-K63265447
BRD-K30577245-001-05-0	BRD-K30577245	BRD-A28612473-001-01-3	BRD-A28612473
BRD-K28029915-066-03-3	BRD-K28029915	BRD-K37792492-066-01-0	BRD-K37792492
BRD-K28029915-066-03-3	BRD-K28029915	BRD-A03259768-066-01-9	BRD-A03259768
BRD-K28029915-001-02-2	BRD-K28029915	BRD-K34008116-001-01-7	BRD-K34008116
BRD-K45319714-002-05-0	BRD-K45319714	BRD-K20901660-002-03-3	BRD-K20901660
BRD-K01825594-311-03-9	BRD-K01825594	BRD-A47978079-003-01-9	BRD-A47978079
BRD-K82928892-001-03-3	BRD-K82928892	BRD-K07234650-001-01-4	BRD-K07234650
BRD-K58262659-001-10-5	BRD-K58262659	BRD-A68537732-001-03-6	BRD-A68537732
BRD-K58262659-001-09-7	BRD-K58262659	BRD-K83057217-001-01-2	BRD-K83057217
BRD-K92093830-001-05-4	BRD-K92093830	BRD-A52530684-001-02-9	BRD-A52530684
BRD-K92093830-003-35-7	BRD-K92093830	BRD-K61468417-003-01-1	BRD-K61468417
BRD-K01825679-311-02-9	BRD-K01825679	BRD-M28128163-312-03-8	BRD-M28128163
BRD-K01825679-311-01-9	BRD-K01825679	BRD-M28128163-312-01-2	BRD-M28128163
BRD-K01825679-311-01-9	BRD-K01825679	BRD-M68646745-311-09-6	BRD-M68646745
BRD-K04394237-001-06-0	BRD-K04394237	BRD-A00938334-001-01-3	BRD-A00938334
BRD-K04394237-001-05-2	BRD-K04394237	BRD-K70875526-001-01-8	BRD-K70875526
BRD-K30373883-001-02-8	BRD-K30373883	BRD-K28984613-001-01-5	BRD-K28984613
BRD-K68620903-001-11-4	BRD-K68620903	BRD-A86597857-001-01-1	BRD-A86597857
BRD-K68620903-001-10-6	BRD-K68620903	BRD-K27038879-001-01-0	BRD-K27038879
BRD-K86892782-001-17-0	BRD-K86892782	BRD-A62505706-001-04-9	BRD-A62505706
BRD-K86410485-046-01-0	BRD-K86410485	BRD-M75840137-046-01-1	BRD-M75840137
BRD-K61314889-001-06-9	BRD-K61314889	BRD-M14816435-001-02-7	BRD-M14816435
BRD-K61314889-001-05-1	BRD-K61314889	BRD-M14816435-001-01-9	BRD-M14816435
BRD-K61314889-001-04-4	BRD-K61314889	BRD-K27544219-001-01-6	BRD-K27544219
BRD-K62752296-003-02-1	BRD-K62752296	BRD-K91486246-003-01-4	BRD-K91486246
BRD-K32007074-001-02-9	BRD-K32007074	BRD-A77582494-001-01-3	BRD-A77582494
BRD-K96137854-001-18-9	BRD-K96137854	BRD-A20200672-001-05-5	BRD-A20200672
BRD-K96137854-001-17-1	BRD-K96137854	BRD-K80535353-001-01-4	BRD-K80535353
BRD-K79450420-001-03-4	BRD-K79450420	BRD-A15458132-001-01-9	BRD-A15458132
BRD-K79450420-001-02-6	BRD-K79450420	BRD-K67385813-001-01-5	BRD-K67385813
BRD-K04548931-003-16-5	BRD-K04548931	BRD-K56844688-003-01-2	BRD-K56844688
BRD-K19761926-001-04-4	BRD-K19761926	BRD-K82139003-001-01-7	BRD-K82139003
BRD-K71823332-001-03-7	BRD-K71823332	BRD-K87031376-001-01-0	BRD-K87031376
BRD-K26531771-001-02-2	BRD-K26531771	BRD-K63457253-001-01-3	BRD-K63457253
BRD-K56155962-001-15-4	BRD-K56155962	BRD-A87199639-001-04-4	BRD-A87199639
BRD-K56155962-001-16-2	BRD-K56155962	BRD-K05243578-001-01-6	BRD-K05243578
BRD-K03039262-001-04-5	BRD-K03039262	BRD-K09161066-001-01-5	BRD-K09161066
BRD-K63550407-001-13-5	BRD-K63550407	BRD-K05127550-001-02-1	BRD-K05127550
BRD-K63550407-001-14-3	BRD-K63550407	BRD-K05127550-001-03-9	BRD-K05127550
BRD-K63550407-001-14-3	BRD-K63550407	BRD-A20485507-001-01-2	BRD-A20485507
BRD-K51677086-001-14-6	BRD-K51677086	BRD-K13846766-001-01-8	BRD-K13846766
BRD-K01825597-034-02-9	BRD-K01825597	BRD-A47598013-034-02-7	BRD-A47598013
BRD-K13629382-051-06-6	BRD-K13629382	BRD-K76359782-051-03-7	BRD-K76359782
BRD-K61443506-236-02-0	BRD-K61443506	BRD-A55962179-236-02-5	BRD-A55962179
BRD-K61443506-237-01-0	BRD-K61443506	BRD-A55962179-239-01-1	BRD-A55962179
BRD-K61443506-239-01-6	BRD-K61443506	BRD-A55962179-239-02-9	BRD-A55962179
BRD-K61443506-239-03-9	BRD-K61443506	BRD-A55962179-239-38-9	BRD-A55962179
BRD-K18910433-001-43-2	BRD-K18910433	BRD-A18917088-001-04-9	BRD-A18917088
BRD-K18910433-001-42-4	BRD-K18910433	BRD-K60633875-001-01-0	BRD-K60633875
BRD-K66766661-001-19-2	BRD-K66766661	BRD-A39747742-001-04-3	BRD-A39747742
BRD-K66766661-001-20-0	BRD-K66766661	BRD-K12790232-001-01-5	BRD-K12790232
BRD-K17016787-001-16-7	BRD-K17016787	BRD-A18620900-001-05-2	BRD-A18620900
BRD-K17016787-001-15-9	BRD-K17016787	BRD-K03411175-001-01-8	BRD-K03411175
BRD-K81839095-001-30-1	BRD-K81839095	BRD-A37959677-001-04-5	BRD-A37959677
BRD-K81839095-001-29-3	BRD-K81839095	BRD-K15236393-001-01-1	BRD-K15236393
BRD-K48195008-001-19-9	BRD-K48195008	BRD-A02367930-001-04-5	BRD-A02367930
BRD-K48195008-001-18-1	BRD-K48195008	BRD-K42555202-001-01-2	BRD-K42555202
BRD-K03981224-001-21-9	BRD-K03981224	BRD-K00456604-001-01-7	BRD-K00456604
BRD-K46331928-001-08-2	BRD-K46331928	BRD-K06056310-001-01-4	BRD-K06056310
BRD-A74667430-001-25-1	BRD-A74667430	BRD-K36911961-001-01-6	BRD-K36911961
BRD-K55055802-001-10-2	BRD-K55055802	BRD-A54880345-001-20-9	BRD-A54880345
BRD-K37798499-001-27-2	BRD-K37798499	BRD-A33280134-001-04-7	BRD-A33280134
BRD-K37798499-001-22-3	BRD-K37798499	BRD-K36186323-001-01-8	BRD-K36186323
BRD-K37798499-001-21-5	BRD-K37798499	BRD-A26175277-001-02-9	BRD-A26175277
BRD-K37798499-001-21-5	BRD-K37798499	BRD-A35357953-001-01-5	BRD-A35357953
BRD-K29996876-001-10-1	BRD-K29996876	BRD-K15671046-001-03-6	BRD-K15671046
BRD-K19741031-001-02-2	BRD-K19741031	BRD-U78472365-000-01-0	BRD-U78472365
BRD-K19741031-001-01-4	BRD-K19741031	BRD-U78671345-000-01-2	BRD-U78671345
BRD-K13514097-001-04-6	BRD-K13514097	BRD-K13154216-001-03-9	BRD-K13154216
BRD-K13514097-001-05-3	BRD-K13514097	BRD-K13154216-001-01-3	BRD-K13154216
BRD-K33425534-001-12-5	BRD-K33425534	BRD-A73741725-001-02-8	BRD-A73741725
BRD-K33425534-001-11-7	BRD-K33425534	BRD-K93923542-001-02-7	BRD-K93923542
BRD-K33425534-001-11-7	BRD-K33425534	BRD-K35247444-001-01-3	BRD-K35247444
BRD-K42260897-001-09-2	BRD-K42260897	BRD-K32180660-001-01-6	BRD-K32180660
BRD-A33697453-008-04-9	BRD-A33697453	BRD-A33697453-008-02-4	BRD-A33697453
BRD-K21586122-001-02-7	BRD-K21586122	BRD-K76786967-001-01-7	BRD-K76786967
BRD-K01095011-001-15-9	BRD-K01095011	BRD-A83081521-001-02-3	BRD-A83081521
BRD-K01095011-001-14-2	BRD-K01095011	BRD-K37882277-001-01-7	BRD-K37882277
BRD-K47832606-001-30-1	BRD-K47832606	BRD-K73088654-001-01-9	BRD-K73088654
BRD-K86003836-001-10-5	BRD-K86003836	BRD-K99928247-001-01-0	BRD-K99928247
BRD-K27871792-001-01-8	BRD-K27871792	BRD-A13650332-236-09-6	BRD-A13650332
BRD-K66788707-001-17-6	BRD-K66788707	BRD-K51927012-001-02-9	BRD-K51927012
BRD-K06408664-001-03-5	BRD-K06408664	BRD-A38749782-001-04-1	BRD-A38749782
BRD-K61496577-001-20-2	BRD-K61496577	BRD-A01346607-001-04-2	BRD-A01346607
BRD-K61496577-001-19-4	BRD-K61496577	BRD-K09237689-001-01-0	BRD-K09237689
BRD-K94353609-001-21-6	BRD-K94353609	BRD-A77824596-001-04-0	BRD-A77824596
BRD-K94353609-001-20-8	BRD-K94353609	BRD-K95627890-001-01-2	BRD-K95627890
BRD-K57886322-001-16-6	BRD-K57886322	BRD-K68865937-001-01-6	BRD-K68865937
BRD-K62310379-001-13-9	BRD-K62310379	BRD-K40517875-001-01-0	BRD-K40517875
BRD-K66296774-236-12-1	BRD-K66296774	BRD-M74726084-304-01-9	BRD-M74726084
BRD-A26503646-001-18-2	BRD-A26503646	BRD-A87468186-001-01-6	BRD-A87468186
BRD-K54006094-051-06-6	BRD-K54006094	BRD-M00539986-051-06-0	BRD-M00539986
BRD-K54006094-051-01-7	BRD-K54006094	BRD-M00539986-051-03-7	BRD-M00539986
BRD-K54006094-051-03-3	BRD-K54006094	BRD-M00539986-051-05-2	BRD-M00539986
BRD-K54006094-051-02-5	BRD-K54006094	BRD-M00539986-051-04-5	BRD-M00539986
BRD-K09602097-001-23-5	BRD-K09602097	BRD-K77830450-001-05-7	BRD-K77830450
BRD-K09602097-001-23-5	BRD-K09602097	BRD-K62498766-001-01-8	BRD-K62498766
BRD-K81101512-234-01-9	BRD-K81101512	BRD-K48461310-234-01-3	BRD-K48461310
BRD-A85667082-001-10-1	BRD-A85667082	BRD-A03249105-001-02-7	BRD-A03249105
BRD-A85667082-001-11-9	BRD-A85667082	BRD-A50947932-001-01-9	BRD-A50947932
BRD-A85667082-001-12-7	BRD-A85667082	BRD-A03249105-001-01-9	BRD-A03249105
BRD-A85667082-001-13-5	BRD-A85667082	BRD-A17828570-001-02-8	BRD-A17828570
BRD-A85667082-001-13-5	BRD-A85667082	BRD-A52958897-001-01-7	BRD-A52958897
BRD-K38140108-002-01-2	BRD-K38140108	BRD-M27076668-002-02-9	BRD-M27076668
BRD-K25106841-001-01-2	BRD-K25106841	BRD-M44547596-002-01-7	BRD-M44547596
BRD-A72401848-001-02-2	BRD-A72401848	BRD-M87846614-001-02-9	BRD-M87846614
BRD-A72401848-001-01-4	BRD-A72401848	BRD-M87846614-001-01-1	BRD-M87846614
BRD-K08542803-001-03-1	BRD-K08542803	BRD-A76999758-001-01-1	BRD-A76999758
BRD-K67578145-001-12-1	BRD-K67578145	BRD-K14399170-001-01-7	BRD-K14399170
BRD-K43570081-001-04-0	BRD-K43570081	BRD-K82847623-001-01-5	BRD-K82847623
BRD-K43570081-001-04-0	BRD-K43570081	BRD-A77524860-001-03-7	BRD-A77524860
BRD-K15108141-003-04-7	BRD-K15108141	BRD-K67681739-003-01-4	BRD-K67681739
BRD-K15108141-003-05-4	BRD-K15108141	BRD-K11238904-003-01-9	BRD-K11238904
BRD-K28824103-001-04-4	BRD-K28824103	BRD-K70886785-001-01-1	BRD-K70886785
BRD-K57275767-001-03-2	BRD-K57275767	BRD-K35205465-001-01-5	BRD-K35205465
BRD-K73771095-001-03-3	BRD-K73771095	BRD-K02342990-001-01-9	BRD-K02342990
BRD-K97197005-001-03-2	BRD-K97197005	BRD-K81077266-001-01-2	BRD-K81077266
BRD-K93816012-001-07-3	BRD-K93816012	BRD-A82395837-001-01-9	BRD-A82395837
BRD-K64748124-300-01-7	BRD-K64748124	BRD-A80271098-300-01-4	BRD-A80271098
BRD-A57886255-001-02-9	BRD-A57886255	BRD-A53244165-001-01-6	BRD-A53244165
BRD-K08273968-001-19-0	BRD-K08273968	BRD-K12423485-001-01-7	BRD-K12423485
BRD-K25325018-001-06-4	BRD-K25325018	BRD-K29174426-001-01-9	BRD-K29174426
BRD-K62736196-015-13-6	BRD-K62736196	BRD-K56800335-015-04-9	BRD-K56800335
BRD-K62676709-065-05-5	BRD-K62676709	BRD-M18219129-065-04-2	BRD-M18219129
BRD-K76037122-001-01-7	BRD-K76037122	BRD-M47712611-001-04-1	BRD-M47712611
BRD-K76037122-001-01-7	BRD-K76037122	BRD-M29095938-001-02-3	BRD-M29095938
BRD-K76037122-001-02-5	BRD-K76037122	BRD-M47712611-001-03-3	BRD-M47712611
BRD-K39520573-001-03-8	BRD-K39520573	BRD-K07859598-001-13-8	BRD-K07859598
BRD-K39520573-001-04-6	BRD-K39520573	BRD-K07859598-001-12-0	BRD-K07859598
BRD-K39520573-001-02-0	BRD-K39520573	BRD-K93653303-001-01-1	BRD-K93653303
BRD-K58775955-001-03-2	BRD-K58775955	BRD-K75189747-001-01-2	BRD-K75189747
BRD-K81709173-001-09-5	BRD-K81709173	BRD-K64408465-001-01-9	BRD-K64408465
BRD-K38903228-001-11-9	BRD-K38903228	BRD-K43382661-001-02-2	BRD-K43382661
BRD-K38903228-001-11-9	BRD-K38903228	BRD-M12718521-001-02-2	BRD-M12718521
BRD-K38903228-001-13-5	BRD-K38903228	BRD-K53229386-001-04-2	BRD-K53229386
BRD-K38903228-001-13-5	BRD-K38903228	BRD-K93633846-001-01-7	BRD-K93633846
BRD-K38903228-001-12-7	BRD-K38903228	BRD-K43382661-001-01-4	BRD-K43382661
BRD-K38903228-001-12-7	BRD-K38903228	BRD-M45990714-001-01-7	BRD-M45990714
BRD-A63267145-001-01-0	BRD-A63267145	BRD-M98748937-001-01-6	BRD-M98748937
BRD-K01674964-001-19-0	BRD-K01674964	BRD-U61402069-000-01-5	BRD-U61402069
BRD-K01826529-004-10-9	BRD-K01826529	BRD-A09539288-004-04-4	BRD-A09539288
BRD-K01826529-004-09-9	BRD-K01826529	BRD-A35196708-004-01-9	BRD-A35196708
BRD-K62240499-001-05-9	BRD-K62240499	BRD-K45888792-001-03-6	BRD-K45888792
BRD-K62240499-001-04-2	BRD-K62240499	BRD-K97618845-001-03-1	BRD-K97618845
BRD-K62240499-001-06-7	BRD-K62240499	BRD-K45888792-001-02-8	BRD-K45888792
BRD-K93568044-001-32-0	BRD-K93568044	BRD-A75172220-001-04-0	BRD-A75172220
BRD-K93568044-001-31-2	BRD-K93568044	BRD-K97571677-001-01-9	BRD-K97571677
BRD-K99199077-001-17-9	BRD-K99199077	BRD-A34508879-001-04-9	BRD-A34508879
BRD-K44009692-001-02-3	BRD-K44009692	BRD-K49031386-001-01-5	BRD-K49031386
BRD-K40530731-001-11-6	BRD-K40530731	BRD-A78303415-001-04-3	BRD-A78303415
BRD-K40530731-001-10-8	BRD-K40530731	BRD-A97674763-001-01-8	BRD-A97674763
BRD-A74391928-051-03-9	BRD-A74391928	BRD-M56587789-051-04-6	BRD-M56587789
BRD-A74391928-051-01-3	BRD-A74391928	BRD-M56587789-051-02-0	BRD-M56587789
BRD-A74391928-051-02-1	BRD-A74391928	BRD-M56587789-051-03-8	BRD-M56587789
BRD-K65639003-001-10-8	BRD-K65639003	BRD-A06210771-001-02-9	BRD-A06210771
BRD-K65639003-001-09-0	BRD-K65639003	BRD-A88583207-001-01-6	BRD-A88583207
BRD-K69650333-003-14-0	BRD-K69650333	BRD-K63126143-003-01-4	BRD-K63126143
BRD-K76634210-001-14-7	BRD-K76634210	BRD-A85439007-001-01-6	BRD-A85439007
BRD-K79612754-001-21-7	BRD-K79612754	BRD-A28787076-001-04-8	BRD-A28787076
BRD-K79612754-001-20-9	BRD-K79612754	BRD-K14210676-001-01-5	BRD-K14210676
BRD-K08547377-001-06-9	BRD-K08547377	BRD-K72035773-001-01-7	BRD-K72035773
BRD-K01825673-051-01-9	BRD-K01825673	BRD-M60365050-051-02-7	BRD-M60365050
BRD-A64743628-001-01-5	BRD-A64743628	BRD-M48029916-001-06-6	BRD-M48029916
BRD-A64743628-001-01-5	BRD-A64743628	BRD-M59543297-001-05-3	BRD-M59543297
BRD-K47178855-001-04-2	BRD-K47178855	BRD-K57344138-001-01-2	BRD-K57344138
BRD-K76723084-001-25-7	BRD-K76723084	BRD-K95366153-001-02-7	BRD-K95366153
BRD-K85554912-001-08-9	BRD-K85554912	BRD-A48570745-001-02-9	BRD-A48570745
BRD-K85554912-001-05-5	BRD-K85554912	BRD-M44211600-001-01-6	BRD-M44211600
BRD-K85554912-001-07-1	BRD-K85554912	BRD-K71544586-001-01-6	BRD-K71544586
BRD-K54606188-001-13-1	BRD-K54606188	BRD-K17588104-001-03-9	BRD-K17588104
BRD-K08327065-065-06-8	BRD-K08327065	BRD-A53533407-065-04-9	BRD-A53533407
BRD-A45419686-001-04-9	BRD-A45419686	BRD-A14985772-001-03-3	BRD-A14985772
BRD-K62309135-001-05-2	BRD-K62309135	BRD-M12235055-001-06-2	BRD-M12235055
BRD-K98372770-001-09-0	BRD-K98372770	BRD-K40656405-001-03-1	BRD-K40656405
BRD-K98372770-001-08-2	BRD-K98372770	BRD-K40656405-001-02-3	BRD-K40656405
BRD-K40787673-001-02-1	BRD-K40787673	BRD-A34513497-002-02-3	BRD-A34513497
BRD-M31057929-385-01-9	BRD-M31057929	BRD-M75836831-385-01-0	BRD-M75836831
BRD-M31057929-447-01-7	BRD-M31057929	BRD-M42331949-431-01-3	BRD-M42331949
BRD-K94485812-001-03-7	BRD-K94485812	BRD-K20203690-001-02-2	BRD-K20203690
BRD-K27184429-300-01-3	BRD-K27184429	BRD-K18097163-300-02-6	BRD-K18097163
BRD-K83551379-001-02-6	BRD-K83551379	BRD-K60537263-001-01-3	BRD-K60537263
BRD-K09471561-001-20-8	BRD-K09471561	BRD-K88565300-001-01-7	BRD-K88565300
BRD-K35189033-001-30-3	BRD-K35189033	BRD-K10086084-001-02-7	BRD-K10086084
BRD-K35189033-001-29-5	BRD-K35189033	BRD-K10086084-001-01-9	BRD-K10086084
BRD-K05906022-001-05-1	BRD-K05906022	BRD-K64094723-001-01-5	BRD-K64094723
BRD-K96550715-001-03-4	BRD-K96550715	BRD-A23155464-001-01-9	BRD-A23155464
BRD-K72922393-003-16-0	BRD-K72922393	BRD-K72922393-003-15-2	BRD-K72922393
BRD-M41245765-001-05-9	BRD-M41245765	BRD-M83658881-001-01-0	BRD-M83658881
BRD-M41245765-341-06-9	BRD-M41245765	BRD-M41245765-001-06-9	BRD-M41245765
BRD-K66206289-065-01-4	BRD-K66206289	BRD-M82226456-065-01-7	BRD-M82226456
BRD-K39983086-001-07-9	BRD-K39983086	BRD-K43659793-001-01-6	BRD-K43659793
BRD-K09416995-001-44-9	BRD-K09416995	BRD-K74251557-001-01-0	BRD-K74251557
BRD-K21937671-001-10-0	BRD-K21937671	BRD-A44872635-001-01-8	BRD-A44872635
BRD-K01825691-001-01-9	BRD-K01825691	BRD-A18039798-001-01-9	BRD-A18039798
BRD-K33814251-001-02-2	BRD-K33814251	BRD-K58693165-001-01-7	BRD-K58693165
BRD-A05926236-001-05-3	BRD-A05926236	BRD-A58804007-001-01-4	BRD-A58804007
BRD-K12068470-001-04-1	BRD-K12068470	BRD-K69247090-001-01-9	BRD-K69247090
BRD-K57365211-314-02-2	BRD-K57365211	BRD-A81339141-314-01-6	BRD-A81339141
BRD-K57365211-314-02-2	BRD-K57365211	BRD-U27874988-000-01-6	BRD-U27874988
BRD-K24031866-001-02-1	BRD-K24031866	BRD-K94335714-001-07-4	BRD-K94335714
BRD-K24031866-001-01-3	BRD-K24031866	BRD-K94335714-001-06-6	BRD-K94335714
BRD-K29713308-077-04-1	BRD-K29713308	BRD-M45580279-077-05-4	BRD-M45580279
BRD-K56515112-001-21-6	BRD-K56515112	BRD-A20126139-001-04-2	BRD-A20126139
BRD-K19507340-001-25-4	BRD-K19507340	BRD-K29344105-001-01-6	BRD-K29344105
BRD-K01612348-001-14-8	BRD-K01612348	BRD-A53925737-001-01-9	BRD-A53925737
BRD-K01612348-001-12-2	BRD-K01612348	BRD-A18115130-001-03-0	BRD-A18115130
BRD-K01612348-001-13-0	BRD-K01612348	BRD-A18115130-001-02-2	BRD-A18115130
BRD-K49954789-001-02-9	BRD-K49954789	BRD-M40783228-001-15-0	BRD-M40783228
BRD-K49954789-001-03-7	BRD-K49954789	BRD-M40783228-001-16-8	BRD-M40783228
BRD-K49954789-001-01-1	BRD-K49954789	BRD-M40783228-001-14-3	BRD-M40783228
BRD-K31920458-001-22-8	BRD-K31920458	BRD-K92042497-001-01-4	BRD-K92042497
BRD-K31920458-001-23-6	BRD-K31920458	BRD-A14798026-001-02-6	BRD-A14798026
BRD-K01826731-065-09-9	BRD-K01826731	BRD-M02190957-065-05-7	BRD-M02190957
BRD-K01826731-065-10-9	BRD-K01826731	BRD-M02190957-065-06-5	BRD-M02190957
BRD-K48619321-004-17-6	BRD-K48619321	BRD-K05224916-004-01-1	BRD-K05224916
BRD-K43192255-048-02-8	BRD-K43192255	BRD-A29043702-048-02-2	BRD-A29043702
BRD-K43192255-048-01-0	BRD-K43192255	BRD-A29043702-048-03-0	BRD-A29043702
BRD-K43192255-048-03-6	BRD-K43192255	BRD-A29043702-048-01-4	BRD-A29043702
BRD-K43192255-048-03-6	BRD-K43192255	BRD-A32164164-048-02-2	BRD-A32164164
BRD-K35240538-001-25-4	BRD-K35240538	BRD-K99443616-001-01-3	BRD-K99443616
BRD-K35240538-001-26-2	BRD-K35240538	BRD-A53176877-001-04-3	BRD-A53176877
BRD-K01826568-046-15-9	BRD-K01826568	BRD-M45038741-045-02-7	BRD-M45038741
BRD-K01826568-046-14-9	BRD-K01826568	BRD-M45038741-046-05-8	BRD-M45038741
BRD-K94441233-001-17-1	BRD-K94441233	BRD-A83177971-001-04-0	BRD-A83177971
BRD-K94441233-001-16-3	BRD-K94441233	BRD-K31414443-001-01-4	BRD-K31414443
BRD-K45114938-236-02-6	BRD-K45114938	BRD-K53064842-236-01-9	BRD-K53064842
BRD-K40407248-236-01-6	BRD-K40407248	BRD-A06596811-236-02-5	BRD-A06596811
BRD-K40407248-236-02-4	BRD-K40407248	BRD-A06596811-236-01-7	BRD-A06596811
BRD-K37270826-001-31-8	BRD-K37270826	BRD-A79939557-001-01-7	BRD-A79939557
BRD-K37270826-001-30-0	BRD-K37270826	BRD-K46504237-001-01-5	BRD-K46504237
BRD-K44779798-001-11-5	BRD-K44779798	BRD-K82665349-001-01-4	BRD-K82665349
BRD-K06902185-001-22-7	BRD-K06902185	BRD-K14888893-001-14-8	BRD-K14888893
BRD-K52959329-238-01-9	BRD-K52959329	BRD-M71049352-238-02-2	BRD-M71049352
BRD-K88061624-001-22-2	BRD-K88061624	BRD-K05218031-001-01-9	BRD-K05218031
BRD-K03128512-001-03-6	BRD-K03128512	BRD-K66135050-001-01-7	BRD-K66135050
BRD-K60640630-001-11-0	BRD-K60640630	BRD-A01139232-001-01-0	BRD-A01139232
BRD-K60640630-001-10-2	BRD-K60640630	BRD-K28476963-001-01-8	BRD-K28476963
BRD-K10575656-034-01-0	BRD-K10575656	BRD-M86143595-034-02-6	BRD-M86143595
BRD-K15262564-001-16-8	BRD-K15262564	BRD-K25394084-001-01-0	BRD-K25394084
BRD-K18574842-323-11-6	BRD-K18574842	BRD-K96812051-323-01-2	BRD-K96812051
BRD-K66404838-001-02-4	BRD-K66404838	BRD-A92651262-003-04-7	BRD-A92651262
BRD-K67511046-001-02-3	BRD-K67511046	BRD-A23195370-003-01-4	BRD-A23195370
BRD-K70898774-001-05-0	BRD-K70898774	BRD-K58239851-001-01-8	BRD-K58239851
BRD-K88172511-003-21-1	BRD-K88172511	BRD-A66559694-003-01-8	BRD-A66559694
BRD-A73871920-236-03-6	BRD-A73871920	BRD-A68478444-236-01-8	BRD-A68478444
BRD-K02953697-001-09-2	BRD-K02953697	BRD-K80718324-001-01-2	BRD-K80718324
BRD-K90563805-213-01-9	BRD-K90563805	BRD-A00398769-213-01-5	BRD-A00398769
BRD-K90563805-001-04-2	BRD-K90563805	BRD-K40312300-001-01-1	BRD-K40312300
BRD-K90563805-001-05-9	BRD-K90563805	BRD-A55960065-001-01-6	BRD-A55960065
BRD-K90563805-001-05-9	BRD-K90563805	BRD-A00773244-001-01-3	BRD-A00773244
BRD-K90563805-001-06-7	BRD-K90563805	BRD-A55960065-001-02-4	BRD-A55960065
BRD-K90563805-001-06-7	BRD-K90563805	BRD-K63692151-001-01-8	BRD-K63692151
BRD-K73469236-001-01-8	BRD-K73469236	BRD-K34751753-318-01-8	BRD-K34751753
BRD-K73469236-001-01-8	BRD-K73469236	BRD-U48121946-000-01-8	BRD-U48121946
BRD-K61032563-001-02-9	BRD-K61032563	BRD-K33395461-001-01-0	BRD-K33395461
BRD-K71013094-326-02-6	BRD-K71013094	BRD-M08953053-001-01-9	BRD-M08953053
