Assay_Plate_Barcode,Plate_Map_Name,Batch_Number,Batch_Date
SQ00015201,C-7161-01-LM6-017,1,2016-03-22
SQ00015202,C-7161-01-LM6-018,1,2016-03-22
SQ00015200,C-7161-01-LM6-016,1,2016-03-22
SQ00015204,C-7161-01-LM6-020,1,2016-03-22
SQ00015205,C-7161-01-LM6-021,1,2016-03-22
SQ00015203,C-7161-01-LM6-019,1,2016-03-22
SQ00015128,C-7161-01-LM6-004,1,2016-03-22
SQ00015127,C-7161-01-LM6-003,1,2016-03-22
SQ00015126,C-7161-01-LM6-002,1,2016-03-22
SQ00015125,C-7161-01-LM6-001,1,2016-03-22
SQ00015199,C-7161-01-LM6-015,1,2016-03-22
SQ00015209,C-7161-01-LM6-025,1,2016-03-22
SQ00015210,C-7161-01-LM6-026,1,2016-03-22
SQ00015211,C-7161-01-LM6-027,1,2016-03-22
SQ00015212,C-7161-01-LM6-028,1,2016-03-22
SQ00015197,C-7161-01-LM6-013,1,2016-03-22
SQ00015196,C-7161-01-LM6-012,1,2016-03-22
SQ00015198,C-7161-01-LM6-014,1,2016-03-22
SQ00015133,C-7161-01-LM6-009,1,2016-03-22
SQ00015132,C-7161-01-LM6-008,1,2016-03-22
SQ00015195,C-7161-01-LM6-011,1,2016-03-22
SQ00015207,C-7161-01-LM6-023,1,2016-03-22
SQ00015194,C-7161-01-LM6-010,1,2016-03-22
SQ00015208,C-7161-01-LM6-024,1,2016-03-22
SQ00015129,C-7161-01-LM6-005,1,2016-03-22
SQ00015130,C-7161-01-LM6-006,1,2016-03-22
SQ00015131,C-7161-01-LM6-007,1,2016-03-22
SQ00015206,C-7161-01-LM6-022,1,2016-03-22
SQ00015170,C-7161-01-LM6-007,2,2016-04-05
SQ00015121,C-7161-01-LM6-002,2,2016-04-05
SQ00015120,C-7161-01-LM6-002,2,2016-04-05
SQ00015169,C-7161-01-LM6-007,2,2016-04-05
SQ00015119,C-7161-01-LM6-001,2,2016-04-05
SQ00015118,C-7161-01-LM6-001,2,2016-04-05
SQ00015168,C-7161-01-LM6-006,2,2016-04-05
SQ00015154,C-7161-01-LM6-003,2,2016-04-05
SQ00015167,C-7161-01-LM6-006,2,2016-04-05
SQ00015166,C-7161-01-LM6-006,2,2016-04-05
SQ00015124,C-7161-01-LM6-003,2,2016-04-05
SQ00015165,C-7161-01-LM6-006,2,2016-04-05
SQ00015123,C-7161-01-LM6-002,2,2016-04-05
SQ00015164,C-7161-01-LM6-005,2,2016-04-05
SQ00015122,C-7161-01-LM6-002,2,2016-04-05
SQ00015163,C-7161-01-LM6-005,2,2016-04-05
SQ00015162,C-7161-01-LM6-005,2,2016-04-05
SQ00015117,C-7161-01-LM6-001,2,2016-04-05
SQ00015116,C-7161-01-LM6-001,2,2016-04-05
SQ00015173,C-7161-01-LM6-005,2,2016-04-05
SQ00015159,C-7161-01-LM6-004,2,2016-04-05
SQ00015158,C-7161-01-LM6-004,2,2016-04-05
SQ00015160,C-7161-01-LM6-004,2,2016-04-05
SQ00015171,C-7161-01-LM6-007,2,2016-04-05
SQ00015172,C-7161-01-LM6-007,2,2016-04-05
SQ00015157,C-7161-01-LM6-004,2,2016-04-05
SQ00015155,C-7161-01-LM6-003,2,2016-04-05
SQ00015156,C-7161-01-LM6-003,2,2016-04-05
SQ00015108,C-7161-01-LM6-008,3,2016-04-26
SQ00015107,C-7161-01-LM6-008,3,2016-04-26
SQ00015224,C-7161-01-LM6-012,3,2016-04-26
SQ00015216,C-7161-01-LM6-010,3,2016-04-26
SQ00015225,C-7161-01-LM6-012,3,2016-04-26
SQ00015217,C-7161-01-LM6-010,3,2016-04-26
SQ00015222,C-7161-01-LM6-012,3,2016-04-26
SQ00015223,C-7161-01-LM6-012,3,2016-04-26
SQ00015230,C-7161-01-LM6-014,3,2016-04-26
SQ00015215,C-7161-01-LM6-010,3,2016-04-26
SQ00015231,C-7161-01-LM6-014,3,2016-04-26
SQ00015105,C-7161-01-LM6-008,3,2016-04-26
SQ00015229,C-7161-01-LM6-013,3,2016-04-26
SQ00015106,C-7161-01-LM6-008,3,2016-04-26
SQ00015233,C-7161-01-LM6-014,3,2016-04-26
SQ00015232,C-7161-01-LM6-014,3,2016-04-26
SQ00015111,C-7161-01-LM6-009,3,2016-04-26
SQ00015221,C-7161-01-LM6-011,3,2016-04-26
SQ00015110,C-7161-01-LM6-009,3,2016-04-26
SQ00015214,C-7161-01-LM6-010,3,2016-04-26
SQ00015220,C-7161-01-LM6-011,3,2016-04-26
SQ00015112,C-7161-01-LM6-009,3,2016-04-26
SQ00015219,C-7161-01-LM6-011,3,2016-04-26
SQ00015226,C-7161-01-LM6-013,3,2016-04-26
SQ00015227,C-7161-01-LM6-013,3,2016-04-26
SQ00015109,C-7161-01-LM6-009,3,2016-04-26
SQ00015228,C-7161-01-LM6-013,3,2016-04-26
SQ00015218,C-7161-01-LM6-011,3,2016-04-26
SQ00015051,C-7161-01-LM6-026,4,2016-05-17
SQ00015052,C-7161-01-LM6-027,4,2016-05-17
SQ00015044,C-7161-01-LM6-025,4,2016-05-17
SQ00014819,C-7161-01-LM6-023,4,2016-05-17
SQ00014820,C-7161-01-LM6-024,4,2016-05-17
SQ00015050,C-7161-01-LM6-026,4,2016-05-17
SQ00015041,C-7161-01-LM6-024,4,2016-05-17
SQ00015049,C-7161-01-LM6-026,4,2016-05-17
SQ00015043,C-7161-01-LM6-024,4,2016-05-17
SQ00015042,C-7161-01-LM6-024,4,2016-05-17
SQ00015048,C-7161-01-LM6-026,4,2016-05-17
SQ00015058,C-7161-01-LM6-028,4,2016-05-17
SQ00015059,C-7161-01-LM6-028,4,2016-05-17
SQ00015055,C-7161-01-LM6-027,4,2016-05-17
SQ00014813,C-7161-01-LM6-022,4,2016-05-17
SQ00015057,C-7161-01-LM6-028,4,2016-05-17
SQ00015056,C-7161-01-LM6-028,4,2016-05-17
SQ00014812,C-7161-01-LM6-022,4,2016-05-17
SQ00015047,C-7161-01-LM6-025,4,2016-05-17
SQ00014815,C-7161-01-LM6-022,4,2016-05-17
SQ00014814,C-7161-01-LM6-022,4,2016-05-17
SQ00015046,C-7161-01-LM6-025,4,2016-05-17
SQ00014817,C-7161-01-LM6-023,4,2016-05-17
SQ00015045,C-7161-01-LM6-025,4,2016-05-17
SQ00014816,C-7161-01-LM6-023,4,2016-05-17
SQ00015053,C-7161-01-LM6-027,4,2016-05-17
SQ00015054,C-7161-01-LM6-027,4,2016-05-17
SQ00014818,C-7161-01-LM6-023,4,2016-05-17
SQ00015096,C-7161-01-LM6-020,5,2016-05-30
SQ00015097,C-7161-01-LM6-020,5,2016-05-30
SQ00015098,C-7161-01-LM6-020,5,2016-05-30
SQ00015099,C-7161-01-LM6-020,5,2016-05-30
SQ00015100,C-7161-01-LM6-021,5,2016-05-30
SQ00015101,C-7161-01-LM6-021,5,2016-05-30
SQ00015102,C-7161-01-LM6-021,5,2016-05-30
SQ00015103,C-7161-01-LM6-021,5,2016-05-30
SQ00015134,C-7161-01-LM6-015,5,2016-05-30
SQ00015135,C-7161-01-LM6-015,5,2016-05-30
SQ00015136,C-7161-01-LM6-015,5,2016-05-30
SQ00015137,C-7161-01-LM6-015,5,2016-05-30
SQ00015138,C-7161-01-LM6-016,5,2016-05-30
SQ00015139,C-7161-01-LM6-016,5,2016-05-30
SQ00015140,C-7161-01-LM6-016,5,2016-05-30
SQ00015141,C-7161-01-LM6-016,5,2016-05-30
SQ00015142,C-7161-01-LM6-017,5,2016-05-30
SQ00015143,C-7161-01-LM6-017,5,2016-05-30
SQ00015144,C-7161-01-LM6-017,5,2016-05-30
SQ00015145,C-7161-01-LM6-017,5,2016-05-30
SQ00015146,C-7161-01-LM6-018,5,2016-05-30
SQ00015147,C-7161-01-LM6-018,5,2016-05-30
SQ00015148,C-7161-01-LM6-018,5,2016-05-30
SQ00015149,C-7161-01-LM6-018,5,2016-05-30
SQ00015150,C-7161-01-LM6-019,5,2016-05-30
SQ00015151,C-7161-01-LM6-019,5,2016-05-30
SQ00015152,C-7161-01-LM6-019,5,2016-05-30
SQ00015153,C-7161-01-LM6-019,5,2016-05-30
